,Baseline Model,Neural Net Classification,Supervised Distinct Model
in,0.8448020451770453,0.8504542124542124,0.8038768315018313
inside,0.8982205031810295,0.8002652955919208,0.8715570175438596
against,0.8850184309154894,0.8933838138985196,0.829035985256573
on,0.9330388968011393,0.9518819724647257,0.9364495622579733
on top of,0.9823393422453021,0.9572865019483439,0.9901522366522367
under,0.7696222877846766,0.9250018161818094,0.9112964116104605
below,0.8660622964689795,0.8841558933450001,0.9113364302859859
over,0.8002653472258736,0.7495458839406208,0.8677764180264179
above,0.8275973887223884,0.8287181568431562,0.8346692890442887
Average,0.8674407265024364,0.8711881718520348,0.8840166869088475
Overall,0.873441805006767,0.8930842097762662,0.9012818044744846
